紫晶城2期,［长沙县-长沙县周边］汽配城路36号
湘龙紫晶城,［长沙县-长沙县周边］汽配城路65号
紫华郡,［长沙县-长沙县周边］远大三路388号
浔龙河长沙院子,［长沙县-长沙县周边］花果公路,近宋水公路
华远海蓝郡,［长沙县-长沙县周边］枫树路,近西冲路
星沙派,［长沙县-长沙县周边］板仓中路21号
融创会展上东区,［长沙县-长沙县周边］滨河路
和泓桃李春风(别墅),［长沙县-长沙县周边］金阳大道,近机场大道
福天星中心,［长沙县-长沙县周边］人民东路辅路
新城悦隽,［长沙县-长沙县周边］东九路,近开元东路
保利东郡,［长沙县-长沙县周边］黄江公路
紫晶城三期,［长沙县-长沙县周边］汽配城路65号
恒基凯旋门(三期),［长沙县-长沙县周边］棠坡路51号
旭辉美的东樾城,［长沙县-长沙县周边］星沙开元路,近东九路
和泓桃李春风(公寓住宅),［长沙县-长沙县周边］金阳大道,近机场大道
中梁星都荟,［长沙县-长沙县周边］长龙路
恒泰风格城市,［长沙县-长沙县周边］万家丽路,近特立路
华润置地广场二期,［长沙县-长沙县周边］开元东路
佳俊万家府,［长沙县-长沙县周边］万家丽北路
雅居乐新地,［长沙县-长沙县周边］远大二路287号
有色地质勘查局247队家属区,［长沙县-长沙县周边］长榔路18号
财汇新天地,［长沙县-长沙县周边］黄兴大道
恒广国际物流园小区,［长沙县-长沙县周边］物流大道8号
东方壹品,［长沙县-长沙县周边］东六路
高峰领寓,［长沙县-长沙县周边］东十路,近大元路
百联空港8号,［长沙县-长沙县周边］黄金大道
板仓路农行宿舍,［长沙县-长沙县周边］板仓中路15号
幸福家园(长沙县),［长沙县-长沙县周边］开元东路1307号
榔梨镇上正街21号楼,［长沙县-长沙县周边］上正街21号
浔龙河学府,［长沙县-长沙县周边］黄兴大道
坤隆商业街小区,［长沙县-长沙县周边］黄花商业街155号
解放军96301部队星沙小区,［长沙县-长沙县周边］开元路172号
经贸路288号小区,［长沙县-长沙县周边］经贸路288号
二汽配宿舍,［长沙县-长沙县周边］人民东路
长沙县审计局宿舍,［长沙县-长沙县周边］板仓路226号
长沙金果罐头食品有限公司住宅区,［长沙县-长沙县周边］龙华路117号
黄花路附218号小区,［长沙县-长沙县周边］远大三路
奎元组自建房,［长沙县-长沙县周边］黄江公路
黄花路35号公寓,［长沙县-长沙县周边］黄花路35号
接驾岭路102号小区,［长沙县-长沙县周边］接驾岭路102号
老财政局宿舍,［长沙县-长沙县周边］天华路260号
脱甲村代家屋自建房,［长沙县-长沙县周边］206省道
竹尾子租自建房,［长沙县-长沙县周边］长沙绕城高速路
板仓东路交易综合楼,［长沙县-长沙县周边］板仓路175号
银家冲组自建房,［长沙县-长沙县周边］034县道
黄花路19号自建房,［长沙县-长沙县周边］黄花路19号
长轴社区,［长沙县-长沙县周边］树新路52号
八字门小区,［长沙县-长沙县周边］黄兴大道
严婆垅小区,［长沙县-长沙县周边］035县道
机场口社区,［长沙县-长沙县周边］市场路78号
楠竹山小区,［长沙县-长沙县周边］黄兴大道
保安工具厂宿舍,［长沙县-长沙县周边］红大路38号
岸芷汀兰小区,［长沙县-长沙县周边］达海路
上汽大众龙峰安置区,［长沙县-长沙县周边］236乡道
梅花雅庭,［长沙县-长沙县周边］肖排路7号
紫气东来,［长沙县-长沙县周边］远大三路
南航集体宿舍,［长沙县-长沙县周边］空港路
长沙县粮食局机关宿舍,［长沙县-长沙县周边］天华中路92号
湖南现代物流学院教师住宅区,［长沙县-长沙县周边］新安路22号
博雅例外,［长沙县-长沙县周边］开元东路
山水湾,［星沙-万家丽北路］万家丽北路88号
荣盛花语城,［星沙-万家丽北路］万家丽路,近水渡河路
保利香槟国际,［星沙-万家丽北路］湘龙西路42号
碧桂园威尼斯城,［星沙-星沙大道］星沙大道325号
星雅美辰,［星沙-万家丽北路］特立西路
三一街区,［星沙-万家丽北路］特立西路18号
时代星城,［星沙-泉塘］湘中路5号
蓝山郡,［星沙-星沙大道］星沙大道,近望仙东路
蝴蝶谷,［星沙-星沙大道］东升路42号
华润凤凰城(三期),［星沙-开元路］东三路,近望仙东路
楚天世纪城,［星沙-星沙大道］漓湘中路6号
爱琴海岸,［星沙-松雅湖］灰埠路127号
海德公园,［星沙-泉塘］东六路178号
恒大翡翠华庭,［星沙-松雅湖］东四路268号
华润凤凰城(二期),［星沙-开元路］东一路,近望仙东路
中国铁建国际城(一期),［星沙-泉塘］东六路
未来康桥长郡,［星沙-泉塘］黄兴大道
盛地尊域,［星沙-万家丽北路］湘龙路29号
爵士湘,［星沙-泉塘］盼盼路777号
尚都花园城,［星沙-通程广场］南山路2号
恒基凯旋门(一二期),［星沙-开元路］开元东路71-79号
旭辉华庭,［星沙-泉塘］东四路28号
新长海广场,［星沙-通程广场］板仓南路26号
水岸世景,［星沙-松雅湖］东二路39号
国泰九龙湾,［星沙-松雅湖］东三路118号
恒广国际景园,［星沙-开元路］凉塘西路1号
华润凤凰城(一期),［星沙-开元路］星沙大道188号
鹏基诺亚山林,［星沙-开元路］东六路
金科时代中心,［星沙-星沙大道］向阳路1号
湘绣城,［星沙-开元路］开元西路1号
好望谷云邸,［星沙-万家丽北路］贺龙体校路6号
海伦春天,［星沙-开元路］黄兴大道218号
四季星城,［星沙-万家丽北路］湘龙路35号
圣力华苑,［星沙-泉塘］漓湘东路28号
湖湾世景,［星沙-开元路］东三路
华润置地广场,［星沙-开元路］东六路266号
明城公寓,［星沙-通程广场］板仓南路
星城国际,［星沙-泉塘］漓湘东路19号
海伦春天(别墅),［星沙-开元路］黄兴大道218号
红树湾小区,［星沙-万家丽北路］万家丽路
深业睿城,［星沙-开元路］开元东路222号
筑梦星园,［星沙-万家丽北路］南塘路,近特立西路
晶华美地,［星沙-通程广场］板仓路219号
橄榄城,［星沙-泉塘］盼盼路,近东四路
长丰星城,［星沙-中南汽车世界］特立西路26号
美林水郡,［星沙-中南汽车世界］开元西路16号
家和院,［星沙-开元路］凉塘东路
鹏基诺亚山林(别墅),［星沙-开元路］东六路
锦璨家园,［星沙-星沙大道］东二路27号
好望谷,［星沙-万家丽北路］湘龙路20号
幸福里,［星沙-开元路］东二路20号
楚天世纪城西苑,［星沙-泉塘］星沙大道
方略城市广场,［星沙-开元路］东四路
湘龙家园(别墅),［星沙-万家丽北路］湘龙路18号
郡原居里,［星沙-万家丽北路］万家丽北路
山水湾(别墅),［星沙-万家丽北路］万家丽北路88号
方略潇邦,［星沙-泉塘］东七路127号
宁华星湖湾(一期),［星沙-开元路］开元东路189号
博雅湘水湾,［星沙-泉塘］盼盼路758号
湘瑞家园,［星沙-万家丽北路］南塘路20号
星城雅郡,［星沙-中南汽车世界］大塘巷15号
东业早安星城,［星沙-星沙大道］天华南路2号
中欣楚天雅郡,［星沙-泉塘］漓湘东路
山水芙蓉国际新城,［星沙-大众传媒］明月路
东门尚苑,［星沙-星沙大道］星沙大道南2号
佳美紫郡,［星沙-泉塘］小塘路,近阳高路
完美生活小区,［星沙-万家丽北路］滨湖西路36号
世景华庭,［星沙-万家丽北路］万家丽北路57号
中国铁建国际城(二期),［星沙-泉塘］东六路,近社塘路
花样年华,［星沙-万家丽北路］南塘路6号
筑梦佳园,［星沙-开元路］开元东路
松雅湖畔,［星沙-大众传媒］星沙大道99号
东方航标,［星沙-开元路］开元东路
山水茗园,［星沙-通程广场］开元路180号
高林仕家,［星沙-泉塘］黄兴大道17号
三景华御,［星沙-泉塘］盼盼路88号
筑梦园,［星沙-中南汽车世界］开元西路12号
MOMA当代广场,［星沙-开元路］开元东路
未来蜂巢,［星沙-泉塘］东六路
明天一城,［星沙-泉塘］东六路
幸福里润城,［星沙-星沙大道］开元东路
楚天家园,［星沙-通程广场］开元路62号
山水人家,［星沙-通程广场］开元路18号
圆梦康乐城,［星沙-开元路］东二路37号
未来现代城,［星沙-星沙大道］星沙大道141号
松雅小区,［星沙-开元路］东五路
尚城,［星沙-星沙大道］开元东路47号
碧桂园威尼斯城(别墅),［星沙-星沙大道］星沙大道325号
艾美潇湘,［星沙-万家丽北路］西霞路79号
领东汇,［星沙-泉塘］人民东路
三景国际,［星沙-泉塘］小塘路
东业苹果社区,［星沙-星沙大道］新安路
和悦城,［星沙-万家丽北路］万家丽北路,近蟠龙路
华天公寓,［星沙-泉塘］漓湘东路
中南汽车世界R小区,［星沙-中南汽车世界］时中路
中南汽车世界Q小区,［星沙-中南汽车世界］锦绣路
泉塘安置小区,［星沙-泉塘］盼盼路
楚天馨苑,［星沙-星沙大道］南山路
幸福洋房,［星沙-开元路］凉塘东路
东城名苑,［星沙-泉塘］漓湘东路63号
香槟花苑,［星沙-星沙大道］星沙大道
淞雅苑,［星沙-大众传媒］滨湖路1号
万丽景园,［星沙-万家丽北路］万家丽北路61号
紫东苑(长沙县),［星沙-泉塘］黄兴大道
波隆城市花园,［星沙-泉塘］黄兴大道
中南汽车世界G小区,［星沙-中南汽车世界］时中路
星沙二区,［星沙-通程广场］板仓中路
松雅湖金岸,［星沙-松雅湖］滨湖路
丰源国际,［星沙-万家丽北路］湘龙路19号
开源鑫阁,［星沙-通程广场］板仓北路33号
金鹏名都,［星沙-开元路］大元路58号
和泉嘉园,［星沙-泉塘］东四路
三六一四小区,［星沙-泉塘］盼盼路26号
星兴佳园,［星沙-开元路］凉塘路5号
灰埠小区,［星沙-开元路］板仓北路431号
山水芙蓉国际新城(别墅),［星沙-大众传媒］明月路126号
新蕾品阁居,［星沙-泉塘］东六路139号
楚天中苑,［星沙-星沙大道］南山路7号
圆梦花园,［星沙-星沙大道］星沙大道25号
汽配城小区,［星沙-中南汽车世界］汽配城路
佳美星城,［星沙-开元路］东二路29号
金岸教师公寓,［星沙-星沙大道］特立路128号
广泰家园,［星沙-开元路］东一路
知微园,［星沙-大众传媒］东升路98号
彩都,［星沙-开元路］东三路21号
湘楚家园,［星沙-中南汽车世界］大塘巷
保利香槟国际(别墅),［星沙-万家丽北路］湘龙西路42号
泊林晶城,［星沙-星沙大道］棠坡路
碧桂园星荟,［星沙-泉塘］远大路,近中轴路
银盘鑫城,［星沙-星沙大道］时中南路
申湘宽境,［星沙-星沙大道］时中南路98号
增辉凯旋帝景,［星沙-泉塘］黄兴大道
陶然居,［星沙-万家丽北路］开元东路
佳辉丽景鑫城,［星沙-泉塘］黄红公路
时代星空,［星沙-泉塘］漓湘西路25号
紫云阁,［星沙-泉塘］小塘路81号
中南汽车世界C小区,［星沙-中南汽车世界］卫星路
星沙一区,［星沙-星沙大道］天华路
蟠龙欣苑,［星沙-万家丽北路］万家丽北路101号
星沙三区,［星沙-星沙大道］天华中路
中南汽车世界L小区,［星沙-中南汽车世界］时中路
荣鑫家园,［星沙-中南汽车世界］金茂路290号
高林金三华邸,［星沙-开元路］时中南路91号
欣安小区,［星沙-通程广场］凉塘路210号
印山蓝色海岸,［星沙-开元路］东一路
未来漫城,［星沙-松雅湖］星沙大道,近滨湖东路
90公馆,［星沙-泉塘］东四路22号
湖湘奥林匹克花园,［星沙-大众传媒］特立西路,近锦绣路
昌和商业中心,［星沙-泉塘］漓湘东路18号
创业乐园,［星沙-泉塘］东四路6号
中建悦和城,［星沙-开元路］东四路,近望仙东路
星沙四区,［星沙-通程广场］天华中路
敏捷珑h府,［星沙-泉塘］东十路
松雅湖壹号,［星沙-星沙大道］东一路,近灰埠路
光明城市,［星沙-泉塘］东十路109号
景上鑫苑,［星沙-开元路］望仙路187号
圆梦家园,［星沙-开元路］天华路98号
草莓街区,［星沙-中南汽车世界］万家丽北路89号
财富港湾,［星沙-星沙大道］星沙大道
中南汽车世界K小区,［星沙-中南汽车世界］卫星路
星邮小区,［星沙-星沙大道］东一路
碧桂园漓湘悦,［星沙-汽车站］天华南路,近漓湘西路
天和华城,［星沙-星沙大道］望仙路236号
泉星物流园,［星沙-泉塘］漓湘东路
众鑫建材市场居民楼,［星沙-通程广场］星沙大道
爱都,［星沙-开元路］开元路53号
幸福里(别墅),［星沙-开元路］东二路20号
华天LOHO小镇东区,［星沙-泉塘］东六路
尚都美寓,［星沙-通程广场］向阳路
丁家高层公寓小区,［星沙-泉塘］东十路
湖南金鹰机电大市场,［星沙-万家丽北路］滨湖西路18号
人民法院宿舍,［星沙-通程广场］板仓路321号
湘预家园,［星沙-泉塘］小塘路
卧龙居国际村,［星沙-通程广场］三一路95号
东方美地,［星沙-泉塘］黄兴大道
博派锦绣兰亭,［星沙-中南汽车世界］锦绣路
长永佳苑,［星沙-中南汽车世界］西霞路2号
广场之星,［星沙-开元路］凉塘路137号
交通局宿舍,［星沙-通程广场］特立路
泉塘安置小区(AB区),［星沙-泉塘］东六路,近盼盼路
方略学府佳境,［星沙-中南汽车世界］东九路189号
东业早安星城(别墅),［星沙-泉塘］天华南路
星沙六区,［星沙-星沙大道］杉仙岭路
城东小区(CD区),［星沙-开元路］棠坡路
县地税局宿舍,［星沙-松雅湖］望仙路91号
大众传媒职业技术学院教师公寓,［星沙-大众传媒］明月路161号
星沙教师公寓,［星沙-星沙大道］星沙大道205号
宁华星湖湾(二期),［星沙-开元路］黄兴大道
恒凯鸿润园,［星沙-泉塘］佳园路97号
警苑星城,［星沙-开元路］棠坡路
星电恬园,［星沙-开元路］三一路附3号
榔梨综合市场,［星沙-泉塘］东升路
开源鑫景,［星沙-开元路］开元路
龙塘安置小区,［星沙-万家丽北路］万家丽北路
永宏万家里,［星沙-中南汽车世界］锦绣路,近石塘路
碧桂园翘楚,［星沙-万家丽北路］万家丽北路,近星沙联络线
丁家岭安置区,［星沙-泉塘］东十路,近丁家岭路
领秀星城,［星沙-开元路］天华中路
达诚阳光丽景,［星沙-星沙大道］凉塘东路
长沙县公安局单位房,［星沙-开元路］望仙路1号
华湘安置小区,［星沙-泉塘］远大三路
日盛湖湘花苑,［星沙-泉塘］东十路,近人民东路
佐佑公寓,［星沙-泉塘］盼盼路
城西小区,［星沙-开元路］万家丽北路
电力职院单位房,［星沙-泉塘］盼盼路
华业星城之都,［星沙-开元路］028县道
阳光紫薇园,［星沙-万家丽北路］凉塘路18号
有色金属二十七队院单位房,［星沙-泉塘］隆平路
仁和苑,［星沙-万家丽北路］水渡河路101号
艾美潇湘(商住楼),［星沙-中南汽车世界］西霞路79号
泉塘安置小区(E区),［星沙-泉塘］盼盼路,近东七路
泰格林纸单位房,［星沙-万家丽北路］东升路
空港国际星城,［星沙-开元路］黄谷路
锦苑小区,［星沙-中南汽车世界］时中南路
山水人家三期,［星沙-星沙大道］开元路18号
聚鑫大厦,［星沙-通程广场］兴隆路
开源鑫苑,［星沙-星沙大道］开元路17号
金科时代中心(商住楼),［星沙-开元路］向阳路1号
睿智园小区,［星沙-泉塘］黄兴大道
星沙五区,［星沙-开元路］金茂路
枫丹新里,［星沙-万家丽北路］滨湖西路,近西霞路
人民政府宿舍(长沙县),［星沙-通程广场］天华路137号
湘龙家园(公寓住宅),［星沙-万家丽北路］湘龙路18号
碧桂园翘楚棠(别墅),［星沙-万家丽北路］万家丽北路,近星沙联络线
湖南大众传媒职业技术学院金岸学生公寓,［星沙-松雅湖］望仙路97号
深业喜汇,［星沙-开元路］开元东路89号
MOMA当代广场(商住楼),［星沙-开元路］开元东路
华远碧桂园海蓝城,［星沙-泉塘］星沙远大路,近中轴路
板仓小区,［星沙-通程广场］板仓中路
湖南水利水电职业技术学院教工宿舍,［星沙-泉塘］东四路18号
恒大翡翠华庭(商住楼),［星沙-开元路］东四路268号
司法局宿舍(长沙县),［星沙-通程广场］望仙路
江城豪庭,［星沙-泉塘］黄兴大道
长龙湾,［星沙-开元路］蓝田北路
星隆国际广场,［星沙-开元路］开元中路88号
长沙县农业银行住宅楼,［星沙-开元路］三一路
金科美邻汇,［星沙-泉塘］东六路南段75号
泉塘安置小区(CD区),［星沙-泉塘］东六路
碧桂园星城首府,［星沙-泉塘］丁家岭路,近东九路
碧桂园中央花园,［星沙-开元路］开元路188号
奥凯花园,［星沙-开元路］东九路358号
长沙县卫生局单位宿舍,［星沙-通程广场］板仓路399号
板桥小区,［星沙-星沙大道］盼盼路
星沙商业步行街商住楼,［星沙-开元路］星沙大道
淞雅苑(别墅),［星沙-松雅湖］滨湖路1号
四季星城(别墅),［星沙-万家丽北路］湘龙路35号
长沙县农业局单位宿舍,［星沙-通程广场］东升路74号
泉星社区,［星沙-泉塘］社塘路196号
世景国际广场,［星沙-开元路］开元路,近东三路
金鹰商业广场,［星沙-万家丽北路］滨湖西路,近石子铺路
中茂城,［星沙-开元路］向阳路
空港朗园,［星沙-开元路］远大三路
尚鑫海悦,［星沙-开元路］开元东路200号
标志浙商黄花度假酒店别墅,［星沙-开元路］远大三路
城东小区(AB区),［星沙-开元路］棠坡路
计生办单位房,［星沙-通程广场］板仓路198号
鸿星阁,［星沙-星沙大道］星沙大道
县广电台宿舍,［星沙-汽车站］板仓路323号
陶公庙小区,［星沙-泉塘］横街82号
长沙县疾病控制中心单位房,［星沙-松雅湖］特立路90号
深业睿城(别墅),［星沙-开元路］开元东路222号
新城景苑,［星沙-泉塘］接驾岭路
长沙县人民政府大院,［星沙-汽车站］板仓路160号
长沙县环保局宿舍,［星沙-汽车站］板仓路164号
长沙县市场监督管理局宿舍楼,［星沙-星沙大道］天华北路290号
农机局宿舍,［星沙-通程广场］板仓路391号
湖南省农村能源办公室宿舍,［星沙-开元路］王宫塘街138号
长沙县畜牧局宿舍,［星沙-汽车站］板仓路389号
佘家垅组548号自建房,［星沙-泉塘］东11线
玛依拉山庄(商住楼),［星沙-星沙大道］金星中路,近咸嘉湖路
时代港湾,［星沙-汽车站］东一路,近漓湘中路
水利水电总公司泉塘大院,［星沙-泉塘］远大二路1415号
福鑫苑,［星沙-万家丽北路］福元中路450号
新城吾悦广场,［星沙-开元路］东四路,近特立东路
保家安置小区,［星沙-泉塘］长沙县路9号
开源鑫城,［星沙-开元路］开元路132号
安歆智寓,［星沙-开元路］东一路,近北斗路
榔梨工商银行宿舍,［星沙-泉塘］新建路78号
湘核星城春晓,［星沙-万家丽北路］万家丽北路,近滨湖西路
水渡家园,［星沙-万家丽北路］041县道
星沙商业乐园,［星沙-开元路］开元路134号
君合新城玺樾,［星沙-泉塘］黄兴大道,近映霞路
湖南省核工业地质局测试中心住宅小区,［星沙-万家丽北路］水渡河路
荣鑫公寓,［星沙-开元路］板仓中路13-1号
豪都新天地,［星沙-泉塘］漓湘东路,近长桥路
松雅轩,［星沙-松雅湖］特立路198号
广华国际公馆,［星沙-开元路］天华路,近向阳路
武广新都城,［星沙-泉塘］黄江公路
湘楚华庭,［星沙-泉塘］漓湘东路11号
兆坤星悦荟,［星沙-开元路］特立路88号
善化国际,［星沙-开元路］木坡路168号
中央公馆,［星沙-通程广场］星沙大道
山水人家(别墅),［星沙-通程广场］开元路18号
银河小区,［星沙-大众传媒］天华南路
银路家园,［星沙-星沙大道］棠坡路17号
五金矿物厂宿舍,［星沙-开元路］曙光中路260号
省司法警校单位房,［星沙-泉塘］远大二路1069号
文苑小区,［星沙-通程广场］板仓北路264号
盛地春天里,［星沙-万家丽北路］石子铺路9号
盛地领航城,［星沙-开元路］大元路
小塘安置区,［星沙-开元路］黄谷路
思进大厦,［星沙-开元路］开元东路53号
韶光社区,［星沙-泉塘］长廊路88号
圆梦灰埠,［星沙-万家丽北路］板仓北路
银园公寓(长沙县),［星沙-开元路］星沙大道
泉塘三期安置区,［星沙-泉塘］东七路
新远时代,［星沙-泉塘］黄兴大道
星邮公寓,［星沙-星沙大道］星沙大道
影珠山公寓,［星沙-开元路］板仓中路
天星家园,［星沙-通程广场］板仓路234号
三一重工员工小区,［星沙-开元路］凉塘东路
星大花园,［星沙-通程广场］天华中路
龙华小区,［星沙-泉塘］黄兴大道
杉星安置区,［星沙-通程广场］凉塘路
荣贵小区,［星沙-大众传媒］板仓路266号
农业局宿舍(长沙县),［星沙-松雅湖］特立路2号
毛塘社区,［星沙-泉塘］028县道
水印山城,［星沙-通程广场］远大三路
湘绣苑小区,［星沙-万家丽北路］滨湖西路12号
长沙县国土资源局宿舍,［星沙-开元路］天华路292号
鸿俊星河城,［星沙-星沙大道］星沙大道
开元仪器单位房,［星沙-开元路］开元路
金海岸学生公寓,［星沙-星沙大道］天华北路
水利局宿舍(松雅湖开元东路),［星沙-万家丽北路］特立路
林业局宿舍,［星沙-大众传媒］板仓北路387号
华菱钢管宿舍,［星沙-开元路］劳动东路220号
湖边的庄园,［星沙-开元路］远大三路
黄花机场家属区,［星沙-开元路］旭日大道
黄花教师村,［星沙-大众传媒］黄花路
交院新天地,［星沙-开元路］034县道
灰埠宿舍,［星沙-开元路］明月路
华润五彩城,［星沙-开元路］星沙大道178号
妇幼保健院宿舍,［星沙-通程广场］板仓路19号
城建开发公司宿舍,［星沙-开元路］解放中路54号
芙蓉国里,［星沙-泉塘］小塘路
花港小区,［星沙-星沙大道］黄花路
